,paths,bbox,texts
73,1063,"[216, 26, 140, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
74,1064,"[102, 315, 141, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
75,1065,"[217, 55, 141, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
76,1066,"[80, 267, 144, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
77,1067,"[123, 355, 142, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
78,1068,"[270, 187, 144, 47]","[11, 32, 19, 0, 1, 10, 5, 10]"
79,1069,"[151, 97, 146, 47]","[11, 32, 19, 0, 1, 10, 5, 10]"
80,107,"[306, 285, 72, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
81,1070,"[108, 338, 144, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
82,1071,"[158, 356, 145, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
83,1072,"[242, 296, 145, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
84,1073,"[60, 300, 144, 47]","[11, 32, 19, 0, 1, 10, 5, 10]"
85,1074,"[270, 305, 147, 46]","[11, 32, 19, 0, 1, 10, 5, 10]"
86,1075,"[59, 269, 146, 47]","[11, 32, 19, 0, 1, 10, 5, 10]"
87,1076,"[186, 47, 146, 48]","[11, 32, 19, 0, 1, 10, 5, 10]"
88,1077,"[74, 28, 147, 45]","[11, 32, 19, 0, 1, 10, 5, 10]"
89,1078,"[86, 356, 146, 48]","[11, 32, 19, 0, 1, 10, 5, 10]"
90,1079,"[62, 244, 147, 47]","[11, 32, 19, 0, 1, 10, 5, 10]"
91,108,"[343, 390, 72, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
92,1080,"[228, 137, 80, 58]","[11, 27, 33, 0, 2, 4, 8, 10]"
93,1081,"[321, 155, 80, 59]","[11, 27, 33, 0, 2, 4, 8, 10]"
94,1082,"[279, 371, 80, 57]","[11, 27, 33, 0, 2, 4, 8, 10]"
95,1083,"[143, 340, 82, 60]","[11, 27, 33, 0, 2, 4, 8, 10]"
96,1084,"[209, 105, 81, 58]","[11, 27, 33, 0, 2, 4, 8, 10]"
97,1085,"[29, 201, 83, 60]","[11, 27, 33, 0, 2, 4, 8, 10]"
98,1086,"[97, 292, 83, 60]","[11, 27, 33, 0, 2, 4, 8, 10]"
99,1087,"[52, 219, 82, 59]","[11, 27, 33, 0, 2, 4, 8, 10]"
100,1088,"[228, 107, 84, 62]","[11, 27, 33, 0, 2, 4, 8, 10]"
101,1089,"[116, 125, 83, 60]","[11, 27, 33, 0, 2, 4, 8, 10]"
102,109,"[291, 311, 74, 28]","[11, 31, 35, 0, 9, 9, 8, 1]"
103,1090,"[118, 284, 83, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
104,1091,"[252, 290, 85, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
105,1092,"[204, 166, 83, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
106,1093,"[36, 277, 85, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
107,1094,"[154, 49, 85, 60]","[11, 27, 33, 0, 2, 4, 8, 10]"
108,1095,"[113, 351, 84, 62]","[11, 27, 33, 0, 2, 4, 8, 10]"
109,1096,"[125, 37, 85, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
110,1097,"[208, 333, 84, 63]","[11, 27, 33, 0, 2, 4, 8, 10]"
111,1098,"[245, 161, 85, 61]","[11, 27, 33, 0, 2, 4, 8, 10]"
112,1099,"[170, 147, 86, 64]","[11, 27, 33, 0, 2, 4, 8, 10]"
113,11,"[45, 364, 61, 22]","[23, 22, 29, 0, 6, 6, 2, 2]"
114,110,"[106, 205, 74, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
115,1100,"[128, 29, 85, 65]","[11, 27, 33, 0, 2, 4, 8, 10]"
116,1101,"[54, 227, 85, 64]","[11, 27, 33, 0, 2, 4, 8, 10]"
117,1102,"[201, 229, 85, 64]","[11, 27, 33, 0, 2, 4, 8, 10]"
118,1103,"[166, 175, 87, 63]","[11, 27, 33, 0, 2, 4, 8, 10]"
119,1104,"[289, 98, 87, 65]","[11, 27, 33, 0, 2, 4, 8, 10]"
120,1105,"[84, 35, 86, 63]","[11, 27, 33, 0, 2, 4, 8, 10]"
121,1106,"[209, 328, 85, 65]","[11, 27, 33, 0, 2, 4, 8, 10]"
122,1107,"[287, 334, 86, 64]","[11, 27, 33, 0, 2, 4, 8, 10]"
123,1108,"[31, 134, 85, 63]","[11, 27, 33, 0, 2, 4, 8, 10]"
124,1109,"[315, 327, 86, 64]","[11, 27, 33, 0, 2, 4, 8, 10]"
125,111,"[214, 152, 73, 26]","[11, 31, 35, 0, 9, 9, 8, 1]"
126,1110,"[278, 219, 72, 25]","[11, 33, 26, 0, 1, 9, 2, 7]"
127,1111,"[244, 213, 74, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
128,1112,"[57, 303, 74, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
129,1113,"[111, 378, 74, 25]","[11, 33, 26, 0, 1, 9, 2, 7]"
130,1114,"[88, 269, 76, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
131,1115,"[306, 87, 75, 25]","[11, 33, 26, 0, 1, 9, 2, 7]"
132,1116,"[90, 172, 76, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
133,1117,"[181, 130, 77, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
134,1118,"[297, 359, 76, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
135,1119,"[21, 390, 78, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
136,112,"[88, 255, 75, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
137,1120,"[122, 376, 77, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
138,1121,"[92, 151, 78, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
139,1122,"[246, 215, 78, 25]","[11, 33, 26, 0, 1, 9, 2, 7]"
140,1123,"[96, 349, 78, 28]","[11, 33, 26, 0, 1, 9, 2, 7]"
141,1124,"[244, 371, 78, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
142,1125,"[287, 248, 81, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
143,1126,"[209, 156, 80, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
144,1127,"[159, 212, 80, 28]","[11, 33, 26, 0, 1, 9, 2, 7]"
145,1128,"[104, 381, 82, 30]","[11, 33, 26, 0, 1, 9, 2, 7]"
146,1129,"[31, 38, 82, 28]","[11, 33, 26, 0, 1, 9, 2, 7]"
147,113,"[223, 280, 74, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
148,1130,"[207, 270, 83, 29]","[11, 33, 26, 0, 1, 9, 2, 7]"
149,1131,"[151, 168, 83, 29]","[11, 33, 26, 0, 1, 9, 2, 7]"
150,1132,"[111, 354, 82, 26]","[11, 33, 26, 0, 1, 9, 2, 7]"
151,1133,"[343, 396, 83, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
152,1134,"[37, 215, 84, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
153,1135,"[224, 105, 84, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
154,1136,"[91, 351, 85, 27]","[11, 33, 26, 0, 1, 9, 2, 7]"
155,1137,"[111, 50, 86, 29]","[11, 33, 26, 0, 1, 9, 2, 7]"
156,1138,"[317, 47, 86, 28]","[11, 33, 26, 0, 1, 9, 2, 7]"
157,1139,"[187, 53, 88, 30]","[11, 33, 26, 0, 1, 9, 2, 7]"
158,114,"[227, 131, 76, 24]","[11, 31, 35, 0, 9, 9, 8, 1]"
159,1140,"[288, 323, 126, 44]","[23, 11, 21, 0, 1, 2, 10, 9]"
160,1141,"[106, 272, 127, 43]","[23, 11, 21, 0, 1, 2, 10, 9]"
161,1142,"[169, 327, 129, 44]","[23, 11, 21, 0, 1, 2, 10, 9]"
162,1143,"[265, 123, 128, 45]","[23, 11, 21, 0, 1, 2, 10, 9]"
163,1144,"[57, 354, 124, 44]","[23, 11, 21, 0, 1, 2, 10, 9]"
164,1145,"[292, 170, 127, 44]","[23, 11, 21, 0, 1, 2, 10, 9]"
165,1146,"[56, 253, 127, 43]","[23, 11, 21, 0, 1, 2, 10, 9]"
166,1147,"[45, 28, 126, 43]","[23, 11, 21, 0, 1, 2, 10, 9]"
167,1148,"[165, 290, 124, 44]","[23, 11, 21, 0, 1, 2, 10, 9]"
168,1149,"[43, 20, 125, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
169,115,"[127, 52, 76, 25]","[11, 31, 35, 0, 9, 9, 8, 1]"
170,1150,"[49, 62, 122, 43]","[23, 11, 21, 0, 1, 2, 10, 9]"
171,1151,"[123, 51, 124, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
172,1152,"[41, 102, 123, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
173,1153,"[259, 210, 122, 43]","[23, 11, 21, 0, 1, 2, 10, 9]"
174,1154,"[242, 183, 123, 40]","[23, 11, 21, 0, 1, 2, 10, 9]"
175,1155,"[117, 193, 120, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
176,1156,"[299, 376, 123, 41]","[23, 11, 21, 0, 1, 2, 10, 9]"
177,1157,"[152, 184, 122, 40]","[23, 11, 21, 0, 1, 2, 10, 9]"
178,1158,"[51, 62, 122, 39]","[23, 11, 21, 0, 1, 2, 10, 9]"
179,1159,"[214, 155, 120, 40]","[23, 11, 21, 0, 1, 2, 10, 9]"
180,116,"[327, 398, 77, 26]","[11, 31, 35, 0, 9, 9, 8, 1]"
181,1160,"[264, 120, 121, 41]","[23, 11, 21, 0, 1, 2, 10, 9]"
182,1161,"[224, 95, 121, 40]","[23, 11, 21, 0, 1, 2, 10, 9]"
183,1162,"[155, 34, 122, 39]","[23, 11, 21, 0, 1, 2, 10, 9]"
184,1163,"[247, 376, 122, 41]","[23, 11, 21, 0, 1, 2, 10, 9]"
185,1164,"[88, 199, 123, 39]","[23, 11, 21, 0, 1, 2, 10, 9]"
186,1165,"[138, 143, 121, 41]","[23, 11, 21, 0, 1, 2, 10, 9]"
187,1166,"[250, 278, 121, 40]","[23, 11, 21, 0, 1, 2, 10, 9]"
188,1167,"[223, 179, 120, 41]","[23, 11, 21, 0, 1, 2, 10, 9]"
189,1168,"[85, 286, 121, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
190,1169,"[85, 339, 121, 42]","[23, 11, 21, 0, 1, 2, 10, 9]"
191,117,"[303, 391, 77, 26]","[11, 31, 35, 0, 9, 9, 8, 1]"
192,1170,"[51, 96, 67, 43]","[11, 22, 20, 0, 10, 4, 5, 9]"
193,1171,"[71, 60, 66, 45]","[11, 22, 20, 0, 10, 4, 5, 9]"
194,1172,"[56, 266, 68, 44]","[11, 22, 20, 0, 10, 4, 5, 9]"
195,1173,"[115, 236, 68, 45]","[11, 22, 20, 0, 10, 4, 5, 9]"
196,1174,"[345, 130, 69, 44]","[11, 22, 20, 0, 10, 4, 5, 9]"
197,1175,"[40, 183, 69, 45]","[11, 22, 20, 0, 10, 4, 5, 9]"
198,1176,"[124, 48, 70, 47]","[11, 22, 20, 0, 10, 4, 5, 9]"
199,1177,"[122, 211, 70, 45]","[11, 22, 20, 0, 10, 4, 5, 9]"
200,1178,"[180, 182, 71, 46]","[11, 22, 20, 0, 10, 4, 5, 9]"
201,1179,"[322, 160, 70, 45]","[11, 22, 20, 0, 10, 4, 5, 9]"
202,118,"[54, 21, 78, 26]","[11, 31, 35, 0, 9, 9, 8, 1]"
203,1180,"[220, 217, 70, 47]","[11, 22, 20, 0, 10, 4, 5, 9]"
204,1181,"[318, 329, 72, 47]","[11, 22, 20, 0, 10, 4, 5, 9]"
205,1182,"[312, 126, 72, 46]","[11, 22, 20, 0, 10, 4, 5, 9]"
206,1183,"[141, 341, 71, 46]","[11, 22, 20, 0, 10, 4, 5, 9]"
207,1184,"[182, 349, 72, 47]","[11, 22, 20, 0, 10, 4, 5, 9]"
208,1185,"[65, 83, 72, 47]","[11, 22, 20, 0, 10, 4, 5, 9]"
209,1186,"[162, 102, 73, 48]","[11, 22, 20, 0, 10, 4, 5, 9]"
210,1187,"[300, 237, 73, 48]","[11, 22, 20, 0, 10, 4, 5, 9]"
211,1188,"[88, 255, 75, 49]","[11, 22, 20, 0, 10, 4, 5, 9]"
212,1189,"[24, 222, 74, 48]","[11, 22, 20, 0, 10, 4, 5, 9]"
213,119,"[90, 372, 78, 28]","[11, 31, 35, 0, 9, 9, 8, 1]"
214,1190,"[212, 233, 75, 49]","[11, 22, 20, 0, 10, 4, 5, 9]"
215,1191,"[245, 138, 76, 50]","[11, 22, 20, 0, 10, 4, 5, 9]"
216,1192,"[94, 49, 75, 51]","[11, 22, 20, 0, 10, 4, 5, 9]"
217,1193,"[142, 313, 75, 51]","[11, 22, 20, 0, 10, 4, 5, 9]"
218,1194,"[315, 246, 75, 50]","[11, 22, 20, 0, 10, 4, 5, 9]"
219,1195,"[96, 269, 76, 50]","[11, 22, 20, 0, 10, 4, 5, 9]"
220,1196,"[235, 117, 77, 50]","[11, 22, 20, 0, 10, 4, 5, 9]"
221,1197,"[108, 143, 78, 51]","[11, 22, 20, 0, 10, 4, 5, 9]"
222,1198,"[288, 164, 78, 52]","[11, 22, 20, 0, 10, 4, 5, 9]"
223,1199,"[151, 114, 78, 51]","[11, 22, 20, 0, 10, 4, 5, 9]"
224,12,"[259, 109, 61, 21]","[23, 22, 29, 0, 6, 6, 2, 2]"
225,120,"[114, 281, 52, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
226,1200,"[148, 158, 175, 60]","[11, 30, 30, 0, 5, 1, 3, 6]"
227,1201,"[82, 208, 174, 61]","[11, 30, 30, 0, 5, 1, 3, 6]"
228,1202,"[74, 188, 175, 62]","[11, 30, 30, 0, 5, 1, 3, 6]"
229,1203,"[220, 204, 177, 62]","[11, 30, 30, 0, 5, 1, 3, 6]"
230,1204,"[71, 289, 178, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
231,1205,"[65, 361, 177, 62]","[11, 30, 30, 0, 5, 1, 3, 6]"
232,1206,"[40, 219, 178, 62]","[11, 30, 30, 0, 5, 1, 3, 6]"
233,1207,"[236, 151, 180, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
234,1208,"[102, 68, 179, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
235,1209,"[32, 50, 180, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
236,121,"[75, 369, 53, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
237,1210,"[85, 290, 181, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
238,1211,"[89, 113, 181, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
239,1212,"[51, 335, 180, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
240,1213,"[243, 101, 180, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
241,1214,"[156, 261, 181, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
242,1215,"[43, 349, 182, 63]","[11, 30, 30, 0, 5, 1, 3, 6]"
243,1216,"[165, 154, 182, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
244,1217,"[166, 245, 183, 65]","[11, 30, 30, 0, 5, 1, 3, 6]"
245,1218,"[50, 56, 184, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
246,1219,"[153, 271, 185, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
247,122,"[173, 302, 53, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
248,1220,"[33, 83, 187, 65]","[11, 30, 30, 0, 5, 1, 3, 6]"
249,1221,"[128, 43, 186, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
250,1222,"[53, 321, 187, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
251,1223,"[49, 309, 186, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
252,1224,"[64, 173, 187, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
253,1225,"[127, 256, 187, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
254,1226,"[96, 268, 188, 65]","[11, 30, 30, 0, 5, 1, 3, 6]"
255,1227,"[174, 93, 187, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
256,1228,"[96, 118, 186, 64]","[11, 30, 30, 0, 5, 1, 3, 6]"
257,1229,"[61, 224, 188, 65]","[11, 30, 30, 0, 5, 1, 3, 6]"
258,123,"[146, 185, 53, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
259,1230,"[335, 97, 81, 24]","[11, 34, 32, 0, 10, 9, 6, 8]"
260,1231,"[234, 57, 81, 24]","[11, 34, 32, 0, 10, 9, 6, 8]"
261,1232,"[253, 181, 81, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
262,1233,"[54, 280, 83, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
263,1234,"[145, 100, 84, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
264,1235,"[299, 186, 84, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
265,1236,"[44, 285, 84, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
266,1237,"[311, 203, 85, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
267,1238,"[258, 127, 86, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
268,1239,"[304, 337, 86, 25]","[11, 34, 32, 0, 10, 9, 6, 8]"
269,124,"[362, 303, 52, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
270,1240,"[263, 341, 88, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
271,1241,"[43, 141, 88, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
272,1242,"[207, 183, 89, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
273,1243,"[279, 27, 90, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
274,1244,"[250, 60, 90, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
275,1245,"[125, 126, 92, 27]","[11, 34, 32, 0, 10, 9, 6, 8]"
276,1246,"[310, 297, 93, 26]","[11, 34, 32, 0, 10, 9, 6, 8]"
277,1247,"[237, 219, 93, 27]","[11, 34, 32, 0, 10, 9, 6, 8]"
278,1248,"[70, 177, 94, 27]","[11, 34, 32, 0, 10, 9, 6, 8]"
279,1249,"[289, 243, 94, 28]","[11, 34, 32, 0, 10, 9, 6, 8]"
280,125,"[143, 72, 53, 18]","[11, 32, 19, 0, 3, 3, 2, 5]"
281,1250,"[175, 366, 94, 28]","[11, 34, 32, 0, 10, 9, 6, 8]"
282,1251,"[182, 56, 94, 28]","[11, 34, 32, 0, 10, 9, 6, 8]"
283,1252,"[184, 235, 96, 29]","[11, 34, 32, 0, 10, 9, 6, 8]"
284,1253,"[281, 94, 97, 29]","[11, 34, 32, 0, 10, 9, 6, 8]"
285,1254,"[169, 239, 98, 29]","[11, 34, 32, 0, 10, 9, 6, 8]"
286,1255,"[193, 209, 99, 30]","[11, 34, 32, 0, 10, 9, 6, 8]"
287,1256,"[228, 335, 100, 31]","[11, 34, 32, 0, 10, 9, 6, 8]"
288,1257,"[315, 202, 99, 30]","[11, 34, 32, 0, 10, 9, 6, 8]"
289,1258,"[86, 180, 99, 30]","[11, 34, 32, 0, 10, 9, 6, 8]"
290,1259,"[103, 34, 100, 30]","[11, 34, 32, 0, 10, 9, 6, 8]"
291,126,"[158, 275, 54, 18]","[11, 32, 19, 0, 3, 3, 2, 5]"
292,1260,"[73, 283, 136, 46]","[11, 18, 35, 0, 10, 8, 8, 8]"
293,1261,"[21, 246, 136, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
294,1262,"[168, 234, 136, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
295,1263,"[72, 319, 135, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
296,1264,"[27, 38, 136, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
297,1265,"[231, 378, 136, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
298,1266,"[152, 311, 136, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
299,1267,"[57, 25, 136, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
300,1268,"[192, 364, 136, 44]","[11, 18, 35, 0, 10, 8, 8, 8]"
301,1269,"[131, 233, 136, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
302,127,"[171, 100, 54, 17]","[11, 32, 19, 0, 3, 3, 2, 5]"
303,1270,"[130, 123, 137, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
304,1271,"[29, 23, 138, 44]","[11, 18, 35, 0, 10, 8, 8, 8]"
305,1272,"[31, 180, 137, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
306,1273,"[253, 311, 138, 44]","[11, 18, 35, 0, 10, 8, 8, 8]"
307,1274,"[288, 90, 139, 43]","[11, 18, 35, 0, 10, 8, 8, 8]"
308,1275,"[45, 201, 139, 44]","[11, 18, 35, 0, 10, 8, 8, 8]"
309,1276,"[147, 114, 139, 44]","[11, 18, 35, 0, 10, 8, 8, 8]"
310,1277,"[216, 227, 141, 45]","[11, 18, 35, 0, 10, 8, 8, 8]"
